Unnamed: 0,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,Unnamed: 2,Unnamed: 3,Unnamed: 4,SheetName,NARKOTİK İLAÇ ÇEKMECESİ,desk üzeri,1. çekmece,desk 1. dolap,1. dolap 1. raf,1. Dolap 2. Raf,1. dolap 3. raf,1. dolap 4. raf,1. dolap 5. raf,2. Dolap 1. Raf,2. dolap 2. raf,2. dolap 3. raf,2. dolap 4. raf,2. dolap 5. raf kutu,3. DOLAP 1. RAF,DOLAP ÜSTÜ 1. KUTU,DOLAP ÜSTÜ 2. KUTU
Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
9,,1,1,SKT-2025-12:1 kutu,2d3r,,,,,,,,,,,,SILVERDIN % 1 40 GR KREM,,,,,
10,,1,1,SKT-2026-02:1 kutu,2d3r,,,,,,,,,,,,"TIYOKAS MONO 12,5 MG/1 G JEL (60 G)",,,,,
11,,1,1,SKT-2025-11:1 kutu,2d3r,,,,,,,,,,,,CALPOL 120 MG 150 ML SUSPANSIYON,,,,,
12,,1,5,SKT-2026-01:1 kutu,2d3r,,,,,,,,,,,,CALCIUM PICKEN %10 ENJEKSIYONLUK COZELTI (5 AMPUL),,,,,
13,,34,34,SKT-2026-11:34 kutu,2d3r,,,,,,,,,,,,IV Cannula Mavi Branül,,,,,
14,,1,1,SKT-2029-06:1 kutu,2d3r,,,,,,,,,,,,Airway Yeşil 3/80,,,,,
15,,1,1,SKT-2028-11:1 kutu,2d3r,,,,,,,,,,,,Airway Kırmızı 5/100,,,,,
16,,1,1,SKT-2029-04:1 kutu,2d3r,,,,,,,,,,,,Airway Sarı 4/90,,,,,
17,,1,1,SKT-2029-03:1 kutu,2d3r,,,,,,,,,,,,Airway Siyah 1/60,,,,,
18,,1,1,SKT-2029-04:1 kutu,2d3r,,,,,,,,,,,,Airway Beyaz 2/70,,,,,
19,,1,1,SKT-2028-02:1 kutu,2d3r,,,,,,,,,,,,Airway Mavi 0/50,,,,,
20,,3,3,SKT-2028-07:3 kutu,2d3r,,,,,,,,,,,,İnsülin İğnesi 1 ml BD Micro Fine Plus,,,,,
21,,10,10,SKT-2024-07:10 kutu,2d3r,,,,,,,,,,,,IV Cannula Yeşil Branül Kateter,,,,,
22,,19,19,SKT-2026-11:19 kutu,2d3r,,,,,,,,,,,,IV Cannula Sarı Branül Kateter,,,,,
23,,11,11,SKT-2024-08:11 kutu,2d3r,,,,,,,,,,,,IV Cannula Pembe Branül Kateter,,,,,
24,,4,4,SKT-2024-07:4 kutu,2d3r,,,,,,,,,,,,IV Cannula Mor Branül Kateter,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,2d4r,,,,,,,,,,,,,Ürün Adı,,,,
1,,50,1,2028-10-01 00:00:00,2d4r,,,,,,,,,,,,,IV Cannula Mavi Branül Kateter,,,,
2,,15,1,2027-06-01 00:00:00,2d4r,,,,,,,,,,,,,IV Cannula Pembe Branül Kateter,,,,
