Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,yer,SheetName,Unnamed: 6
4.0,OKSİJEN MASKESİ YETİŞKİN,8,8,"SKT-2026-08:3 kutu, SKT-2025-09:5 kutu",3. DOLAP 1. RAF,3d1r,
5.0,HAZNELİ OKSİJEN MASKESİ ÇOCUK,4,4,"SKT-2025-05:1 kutu, SKT-2026-11:3 kutu",3. DOLAP 1. RAF,3d1r,
6.0,OKSİJEN MASKESİ ÇOCUK,2,2,SKT-2026-08:2 kutu,3. DOLAP 1. RAF,3d1r,
7.0,OKSİJEN MASKESİ ÇOCUK,1,1,SKT-2026-11:1 kutu,3. DOLAP 1. RAF,3d1r,
8.0,NAZAL OKSİJEN KANÜLÜ YETİŞKİN,14,14,"SKT-2024-03:3 kutu, SKT-2026-07:1 kutu, SKT-2027-09:10 kutu",3. DOLAP 1. RAF,3d1r,
9.0,NAZAL OKSİJEN KANÜLÜ ÇOCUK/PEDİATRİC,5,5,SKT-2027-03:5 kutu,3. DOLAP 1. RAF,3d1r,
1.0,BİSTÜRİ UCU 15 100 ADET,1,100,SKT-2028-03:1 kutu,3. dolap 2. raf,3d2r,
2.0,ULTRASOUND GEJ JEL 1000 ML.,1,1,SKT-2019-03:1 kutu,3. dolap 2. raf,3d2r,
3.0,TAHTA DİL BASACAĞI ABESLANG 100'LÜ,1,100,SKT-2028-01:1 kutu,3. dolap 2. raf,3d2r,
4.0,EKG ELEKTROT,3,3,"SKT-2020-05:1 kutu, SKT-2025-01:2 kutu",3. dolap 2. raf,3d2r,
5.0,BATİDERM %10 POVİDON İYOT 1000ML,1,1,SKT-2025-03:1 kutu,3. dolap 2. raf,3d2r,
6.0,"CORTAIR 0,25 MG/ML NEBULIZASYON ICIN TEK DOZLUK INHALASYON SUSPANSIYONU ICEREN FLAKON (20 FLAKON)",1,20,SKT-2025-08:1 kutu,3. dolap 2. raf,3d2r,
7.0,VENTOLIN INHALER 100 MCG 200 DOZ,1,1,SKT-2025-08:1 kutu,3. dolap 2. raf,3d2r,
8.0,SALRES 100 MCG INHALASYON ICIN OLCULU DOZLU AEROSOL 200 DOZ,1,1,SKT-2027-08:1 kutu,3. dolap 2. raf,3d2r,
9.0,"VENTOLIN NEBULES 2,5ML 20 DOZ",1,1,SKT-2026-11:1 kutu,3. dolap 2. raf,3d2r,
10.0,YARA BANDI SANİTA,4,4,SKT-2029-05:4 kutu,3. dolap 2. raf,3d2r,
11.0,FLASTER 10CMX5MT,5,5,SKT-2028-02:5 kutu,3. dolap 2. raf,3d2r,
12.0,TURNİKE OTOMATİK DAMARYOLU İÇİN,1,1,SKT-3000-02:1 kutu,3. dolap 2. raf,3d2r,
1.0,ALKOLLÜ MENDİL 100LÜ,1,100,SKT-2029-07:1 kutu,3. dolap 3. raf,3d3r,
